,SongName,ArtistName
616,Old Town Road,Lil Nas X
"617,00:26,""JóiPé, Króli"""
618,ZEZE (feat. Travis Scott & Offset),Kodak Black
"619,Darkside,""Alan Walker, Au/Ra, Tomine Harket"""
"620,""Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]"",Anuel AA"
621,bury a friend,Billie Eilish
622,when the party's over,Billie Eilish
623,Meant to Be (feat. Florida Georgia Line),Bebe Rexha
624,Killshot,Eminem
625,Believer,Imagine Dragons
"626,Bebo Litro - Ao Vivo,""Maiara & Maraisa, Jorge & Mateus"""
627,Sommerkroppen,Mads Hansen
628,Otras Se Pierden,Morat
629,ocean eyes,Billie Eilish
630,Chambre 122,Koba LaD
631,Blah Blah Blah,Armin van Buuren
632,Bir İhtimal Biliyorum,Gülşen
633,Better Now,Post Malone
634,Waves (feat. 6LACK),Normani
"635,Ta Tum Tum,""MC Kevinho, Simone & Simaria"""
636,Aute Cuture,ROSALÍA
637,MIA (feat. Drake),Bad Bunny
638,Půlnoční,Václav Neckář
"639,Something Just Like This,""The Chainsmokers, Coldplay"""
640,Last Christmas,Wham!
"641,Asesina - Remix,""Brytiago, Daddy Yankee, Ozuna, Darell, Anuel AA"""
642,Paradise,Bazzi
643,พบกันใหม่,Polycat
"644,I'll Never Love Again - Film Version - Radio Edit,""Lady Gaga, Bradley Cooper"""
"645,Sunflower - Spider-Man: Into the Spider-Verse,""Post Malone, Swae Lee"""
646,ลาลาลอย (100%),The Toys
647,El Color de Tus Ojos,Banda MS de Sergio Lizárraga
"648,Diamond Heart,""Alan Walker, Sophia Somajo"""
649,Sin (feat. Jaden Smith),Young Thug
650,Be Alright,Dean Lewis
651,when the party's over,Billie Eilish
"652,Mocca - Remix,""Lalo Ebratt, J Balvin, Trapical"""
"653,Unforgettable,""French Montana, Swae Lee"""
654,NI BIEN NI MAL,Bad Bunny
655,Always Remember Us This Way,Lady Gaga
656,Nokta,Ersay Üner
"657,Yeezy,""Anuel AA, Ñengo Flow"""
"658,Aquí Estaré,""Sky Rompiendo, Sebastian Yatra, Zion & Lennox"""
659,Lost In Japan,Shawn Mendes
660,my strange addiction,Billie Eilish
"661,Kiss and Make Up,""Dua Lipa, BLACKPINK"""
"662,Darkside,""Alan Walker, Au/Ra, Tomine Harket"""
663,Photograph,Ed Sheeran
"664,Nowi kumple,""White 2115, Bedoes, Kuqe"""
"665,Wolves,""Selena Gomez, Marshmello"""
666,LOVE BOMB,fromis_9
667,Maldita Costumbre,Morat
668,Que Maravilha,Mc Zaac
669,idontwannabeyouanymore,Billie Eilish
670,Pam Pam,Wisin & Yandel
671,7 rings,Ariana Grande
672,סיגפו,Beit Habubot
"673,In My Mind,""Dynoro, Gigi D'Agostino"""
674,Girls Like You (feat. Cardi B),Maroon 5
"675,Suena El Dembow,""Joey Montana, Sebastian Yatra"""
"676,Bag Un Blunt,""Ian, Azteca"""
677,Girls Like You (feat. Cardi B),Maroon 5
678,いいんですか?,RADWIMPS
679,Ma 6t a craqué (feat. Ninho),Kpoint
"680,Un Año,""Sebastian Yatra, Reik"""
681,Natural,Imagine Dragons
682,Girls Like You (feat. Cardi B),Maroon 5
"683,Wolves,""Selena Gomez, Marshmello"""
"684,Visa,""TACONAFIDE, Quebonafide, Taco Hemingway"""
"685,Scared to Be Lonely,""Martin Garrix, Dua Lipa"""
"686,Ponle,""Rvssian, Farruko, J Balvin"""
687,Somebody To Love - Remastered 2011,Queen
688,にじいろ,ayaka
689,Safari,Piotr Ziola
690,พูดไม่ออก,The Toys
"691,Ritual,""Tiësto, Jonas Blue, Rita Ora"""
692,Naturaleza,Anuel AA
693,xanny,Billie Eilish
694,Coração Infectado,Maiara & Maraisa
695,言不由衷,LaLa Hsu
696,Te Mando Flores,Fonseca
697,We Will Rock You - Remastered 2011,Queen
698,No Hay Nadie Más,Sebastian Yatra
699,Latina (feat. Maluma),Reykon
700,Bad Liar,Imagine Dragons
701,Perdóname,FMK
"702,Shallow,""Lady Gaga, Bradley Cooper"""
703,Första Klass,Einár
"704,Sunflower - Spider-Man: Into the Spider-Verse,""Post Malone, Swae Lee"""
705,Sweet but Psycho,Ava Max
706,Sucker,Jonas Brothers
707,Earth,Lil Dicky
708,Youngblood,5 Seconds of Summer
709,Blackberry Sky,Eno
"710,Who Do You Love,""The Chainsmokers, 5 Seconds of Summer"""
711,changes,XXXTENTACION
712,No Hay Nadie Más,Sebastian Yatra
713,Believer,Imagine Dragons
714,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez
715,Walk Me Home,P!nk
"716,Lost Control,""Alan Walker, Sorana"""
717,Sleigh Ride,The Ronettes
"718,La Diabla,""Alex Sensation, Nicky Jam"""
719,Symphony (feat. Zara Larsson),Clean Bandit
"720,FRIENDS,""Marshmello, Anne-Marie"""
"721,Whenever (feat. Conor Maynard),""Kris Kross Amsterdam, The Boy Next Door"""
722,I Don't Care (with Justin Bieber),Ed Sheeran
723,Paradise,Bazzi
"724,Ngày Mai Em Đi,""Lê Hiếu, Soobin Hoang Son, Touliver"""
725,Believer,Imagine Dragons
"726,Esta Noche,""Mike Bahía, Greeicy"""
"727,Guayo,""Zion & Lennox, Anuel AA, Haze"""
728,Call Out My Name,The Weeknd
"729,""Don't Give Up On Me - (From """"Five Feet Apart"""")"",Andy Grammer"
"730,Rebota - Remix,""Guaynaa, Nicky Jam, Farruko, Becky G, Sech"""
731,Colgando en tus manos (con Marta Sánchez),Carlos Baute
732,Sweet but Psycho,Ava Max
733,Heyecanı Yok,Gazapizm
734,Party In The U.S.A.,Miley Cyrus
735,Lucid Dreams,Juice WRLD
"736,Vuelve,""Sebastian Yatra, Beret"""
737,whoa (mind in awe),XXXTENTACION
"738,Solita,""Sech, Farruko, Zion & Lennox"""
"739,Górą ty,""GOLEC UORKIESTRA, Gromee, Bedoes"""
"740,""break up with your girlfriend, i'm bored"",Ariana Grande"
"741,Füttyös,""Majka, Curtis, Király Viktor"""
742,اوف منه قلبي,Aseel Hameem
743,Robbery,Juice WRLD
744,Love Yourself,Justin Bieber
745,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine
746,One Kiss (with Dua Lipa),Calvin Harris
"747,Dream Girl,""Butrint Imeri, Nimo"""
"748,""1, 2, 3 (feat. Jason Derulo & De La Ghetto)"",Sofía Reyes"
749,Papers (feat. Ninho),Zola
750,Christmas Time,Backstreet Boys
751,We Will Rock You - Remastered 2011,Queen
752,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly
753,ברגעים שאת הולכת,Osher Cohen
754,Just the Way You Are,Bruno Mars
"755,Comerte A Besos,""Justin Quiles, Nicky Jam, Wisin"""
756,Caliente (feat. J Balvin),De La Ghetto
757,Cuando Nadie Ve,Morat
758,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran
"759,No Tenemos Nada,""Amenazzy, Myke Towers"""
"760,Lo Malo - Operación Triunfo 2017,""Aitana, Ana Guerra"""
"761,Rise,""Jonas Blue, Jack & Jack"""
762,Solletico (feat. Tedua & The Night Skinny),Rkomi
763,Kids,Rich Brian
"764,Muito Calor,""Ozuna, Anitta"""
765,HP,Maluma
"766,Shallow,""Lady Gaga, Bradley Cooper"""
"767,YO LE LLEGO,""J Balvin, Bad Bunny"""
768,The London (feat. J. Cole & Travis Scott),Young Thug
769,What is Love?,TWICE
770,Hôm Nay Tôi Buồn,Phùng Khánh Linh
771,A fuego,DrefQuila
"772,Soltera - Remix,""Lunay, Daddy Yankee, Bad Bunny"""
"773,""Fire On Fire - From """"Watership Down"""""",Sam Smith"
774,God's Plan,Drake
"775,Pa Mí - Remix,""Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez"""
"776,Otro Trago,""Sech, Darell"""
777,Shape of You,Ed Sheeran
778,FAKA (feat. Poke),Famke Louise
779,Youngblood,5 Seconds of Summer
"780,Quizás,""Rich Music LTD, Dalex, Sech, Justin Quiles, Wisin, Zion, Dímelo Flow, Lenny Tavárez, Feid"""
"781,""Bekhayali (From """"Kabir Singh"""")"",""Sachet Tandon, Sachet-Parampara"""
"782,Voi ei,""Gettomasa, Lauri Haav"""
"783,Señorita,""Shawn Mendes, Camila Cabello"""
784,On The Road (feat. Meek Mill & Lil Baby),Post Malone
785,PPP,Kevin Roldan
"786,Cizí sny,""Viktor Sheen, LUISA"""
787,You Little Beauty,FISHER
788,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson
"789,Soltera - Remix,""Lunay, Daddy Yankee, Bad Bunny"""
790,Rainbow,South Border
791,Bu Havada Gidilmez,Manuş Baba
792,Darbie,DARA
"793,Besos En Guerra,""Morat, Juanes"""
794,HUMBLE.,Kendrick Lamar
795,Chica Paranormal,Paulo Londra
"796,Adictiva,""Daddy Yankee, Anuel AA"""
"797,""thank u, next"",Ariana Grande"
798,Nada Ha Cambiado,Manuel Turizo
"799,Als Het Fout Gaat,""Lijpe, Boef"""
800,עיניים,Eden Hason
801,Tal Vez,Paulo Londra
802,Graduation (with Juice WRLD),benny blanco
"803,So alleine,""Capital Bra, Samra"""
804,To Gostando Tanto de Você,Mc Don Juan
"805,Solita,""Ozuna, Mambo Kingz, DJ Luian, Bad Bunny, Wisin, Almighty"""
806,Lucid Dreams,Juice WRLD
807,One Kiss (with Dua Lipa),Calvin Harris
808,Enemies (feat. DaBaby),Post Malone
"809,Water,""Kanye West, Ant Clemons"""
810,Hawa Banke,Darshan Raval
811,Best Part (feat. Daniel Caesar),H.E.R.
812,Closed On Sunday,Kanye West
"813,La Rubia - Remix 2,""La Nueva Escuela, Omar Montes"""
814,Leef,André Hazes Jr.
"815,Scared to Be Lonely,""Martin Garrix, Dua Lipa"""
816,Thinking out Loud,Ed Sheeran
"817,Perreito - Remix,""Mariah Angeliq, Arcangel, Darell"""
"818,Señorita,""Shawn Mendes, Camila Cabello"""
819,來自天堂的魔鬼,G.E.M.
820,Beautiful Crazy,Luke Combs
"821,Aerolínea Carrillo,""T3R Elemento, Gerardo Ortiz"""
822,千年如一日,Sammi Cheng
823,VALENTINO,24kGoldn
824,Mahallemiz Esmer,Ben Fero
825,Circles,Post Malone
826,Halu,Feby Putri
827,Hun Rider På Den,Pattesutter
"828,Rompe,""Priceless, Frenna, Murda"""
829,Ni Gucci Ni Prada,Kenny Man
830,Last Christmas,Wham!
831,Truth Hurts,Lizzo
832,Don't Call Me Up,Mabel
"833,Here With Me,""Marshmello, CHVRCHES"""
834,Always Remember Us This Way,Lady Gaga
"835,Here With Me,""Marshmello, CHVRCHES"""
"836,Dusk Till Dawn - Radio Edit,""ZAYN, Sia"""
837,LOVE SCENARIO,iKON
838,Lạ Lùng,Vũ.
839,Moonlight,XXXTENTACION
840,Mother's Daughter,Miley Cyrus
"841,Sin Pijama,""Becky G, Natti Natasha"""
"842,เสือสิ้นลาย,""F.HERO, YOUNGOHM, P-Hot, FYMME"""
843,Devuelveme,Ozuna
844,Apenas Mais uma de Amor,Lulu Santos
845,عليك السلام,Fahed Bin Fasla
846,נסיכה שלי,Ivri Lider
"847,Delfin,""Bedoes, Kubi Producent, Koldi, Young Multi, Beteo"""
848,Enemies (feat. DaBaby),Post Malone
849,Wanted,OneRepublic
850,Solteiro Não Trai - Ao Vivo,Gustavo Mioto
"851,""Hey Look Ma, I Made It"",Panic! At The Disco"
852,Dembow,Danny Ocean
853,Ausência - Ao Vivo | Acústico,Marília Mendonça
854,Love Shot,EXO
"855,No Me Conoce - Remix,""Jhay Cortez, J Balvin, Bad Bunny"""
"856,El Mudo - Remix,""Quimico Ultra Mega, Bulin 47, Ceky Viciny, El Crok"""
857,ดีใจด้วยนะ(Glad),Ink Waruntorn
"858,Delincuente,""Farruko, Anuel AA, Kendo Kaponi"""
859,Chlorine,Twenty One Pilots
860,Vivir Mi Vida,Marc Anthony
861,7 rings,Ariana Grande
862,Thanh Xuan,Da LAB
"863,Happier,""Marshmello, Bastille"""
864,Rapidito,Bulin 47
865,Alone,Alan Walker
866,Bílá & Černá,Nik Tendo
867,Roxtármod,Misshmusic
"868,Happier,""Marshmello, Bastille"""
869,Hiling,Mark Carpio
870,1969 (feat. Boss Doms & Frenetik&Orang3),Achille Lauro
871,Small Talk,Katy Perry
872,Call You Mine (feat. Bebe Rexha),The Chainsmokers
873,Last Hurrah,Bebe Rexha
874,Christmas (Baby Please Come Home),Darlene Love
875,Ruin My Life,Zara Larsson
876,Facilita,MC Kevinho
"877,Güzelliğine,""EDIS, Emina"""
878,Undrunk,FLETCHER
879,skittles,Karpe
"880,Soltera - Remix,""Lunay, Daddy Yankee, Bad Bunny"""
"881,Abloh,""Frenna, D-Block Europe"""
882,Someone You Loved,Lewis Capaldi
"883,La Boca - Remix,""Mau y Ricky, Camilo, Lunay"""
"884,24/7 Remix,""Rasskulz, BKO, Saffeh, Ballin30, Spens, Massief"""
885,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN
886,Un Poco de Amor Francés,Patricio Rey y sus Redonditos de Ricota
887,Maria,STEIN27
888,One Last Time,Ariana Grande
889,Liar,Camila Cabello
890,Lose You To Love Me,Selena Gomez
891,Moonlight,XXXTENTACION
"892,Asesina - Remix,""Brytiago, Daddy Yankee, Ozuna, Darell, Anuel AA"""
893,Ocean,KAROL G
"894,Nunca Es Suficiente,""Los Ángeles Azules, Natalia Lafourcade"""
"895,Happier,""Marshmello, Bastille"""
"896,""Yo x Ti, Tu x Mi"",""ROSALÍA, Ozuna"""
"897,Closer,""The Chainsmokers, Halsey"""
898,Lose You To Love Me,Selena Gomez
"899,Hoe Het Danst,""Marco Borsato, Armin van Buuren, Davina Michelle"""
900,Chandelier,Sia
901,Audiokniha,Gleb
902,7 rings,Ariana Grande
903,Hjá þér,Sálin hans Jóns míns
904,3 Lucruri,Nane
905,Dancin (feat. Luvli) - Krono Remix,Aaron Smith
906,Dein Fahrer,Sero El Mero
"907,Tell Me,""Krept & Konan, D-Block Europe, Ling Hussle"""
908,Patrik Šefranko,Radikal Chef
909,Someone You Loved,Lewis Capaldi
910,Misunderstood,Youngn Lipz
"911,Kar Gayi Chull,""Badshah, Amaal Mallik, Fazilpuria, Sukriti Kakar, Neha Kakkar"""
912,bloodline,Ariana Grande
913,Te Esperaba,Carlos Rivera
914,Rescue Me,OneRepublic
915,It's You,Ali Gatie
916,Don't Call Me Up,Mabel
"917,Lalala,""Y2K, bbno$"""
918,Goodbyes (Feat. Young Thug),Post Malone
919,HP,Maluma
920,Always Remember Us This Way,Lady Gaga
921,Matkalla Plutoon,Pyhimys
922,bad guy,Billie Eilish
"923,等你下課,""Jay Chou, Gary Yang"""
924,Que Tire Pa Lante,Daddy Yankee
"925,Junior Neymar,""EREN CAN, BATU"""
926,Don't Call Me Up,Mabel
927,LECI NOWY FUTURE,Taco Hemingway
928,Location (feat. Burna Boy),Dave
929,3 Nights,Dominic Fike
930,Amor Platonico,Los Verduleros
931,Fangirl (feat. Gab3),Lil Peep
932,תוכו רצוף אהבה,Ishay Ribo
933,bad guy,Billie Eilish
"934,Cuaderno,""Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön"""
935,HP,Maluma
"936,I Don’t Wanna Live Forever (Fifty Shades Darker),""ZAYN, Taylor Swift"""
937,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra
938,hot girl bummer,blackbear
"939,MOJAITA,""J Balvin, Bad Bunny"""
"940,YYASMIN,""Zayo, Yzomandias"""
941,All I Want for Christmas Is You,Mariah Carey
942,Te Soñé De Nuevo,Ozuna
"943,Promises (with Sam Smith),""Calvin Harris, Jessie Reyez"""
944,太空,吳青峰
945,Suicidal,YNW Melly
"946,Muévelo,""Nicky Jam, Daddy Yankee"""
"947,Ressala,""Dyler, DB Gad"""
948,Contando Lunares (feat. Cruz Cafuné),Don Patricio
949,當你,Cyndi Wang
950,Sevmemeliyiz,Sena Şener
951,rockstar (feat. 21 Savage),Post Malone
952,Used To Love (with Dean Lewis),Martin Garrix
"953,Piensan,""Haze, Myke Towers"""
"954,Verte Ir,""DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago"""
955,Boogie,Mister V
"956,i'm so tired...,""Lauv, Troye Sivan"""
"957,""All I Want - From """"High School Musical: The Musical: The Series"""""",Olivia Rodrigo"
958,Before You Go,Lewis Capaldi
959,6 del mattino (feat. Brancar),Jake La Furia
960,Beautiful People (feat. Khalid),Ed Sheeran
961,I Don't Care (with Justin Bieber),Ed Sheeran
962,7 rings,Ariana Grande
963,All of Me,John Legend
"964,Que Calor (with J Balvin & El Alfa),""Major Lazer, Diplo"""
"965,Con Altura,""ROSALÍA, J Balvin, El Guincho"""
966,Scuze Mama,Ian
967,What Am I,Why Don't We
968,Feel Special,TWICE
969,רחוק מכולם,Omer Adam
"970,""DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix"",""Justin Quiles, Natti Natasha, Farruko"""
971,Sixteen,Ellie Goulding
972,Feel Special,TWICE
973,Teman Tapi Menikah,Dengarkan Dia
974,Best Part (feat. Daniel Caesar),H.E.R.
975,Amikor Feladnád,Halott Pénz
976,everything i wanted,Billie Eilish
977,Aku Bukan Untukmu,Rossa
978,bad guy,Billie Eilish
"979,Demasiado Tarde,""Micro TDH, Lenny Tavárez"""
980,bad guy,Billie Eilish
"981,Angelina,""Sin Boy, Ypo"""
982,Donker,Young Ellens
"983,Tutu,""Camilo, Pedro Capó"""
"984,""Dillom: Bzrp Music Sessions, Vol. 9"",""Bizarrap, Dillom"""
985,Maria - Acoustic,STEIN27
"986,""Yo x Ti, Tu x Mi"",""ROSALÍA, Ozuna"""
"987,1000 Hits,""Jamule, Cro"""
"988,Instagram,""Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, Natti Natasha, Dimitri Vegas, Like Mike"""
989,Reggaeton,J Balvin
990,Blinding Lights,The Weeknd
991,Dahan,December Avenue
992,Candy,Doja Cat
993,Leila,Reynmen
"994,Verte Ir,""DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago"""
995,Never Really Over,Katy Perry
996,Lover (Remix) [feat. Shawn Mendes],Taylor Swift
997,Without You,高爾宣 OSN
998,Wow.,Post Malone
"999,Verte Ir,""DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago"""
1000,Get You The Moon (feat. Snøw),Kina
"1001,RITMO (Bad Boys For Life),""Black Eyed Peas, J Balvin"""
1002,Sweet but Psycho,Ava Max
1003,你要的全拿走,Tiger Hu
1004,Havana (feat. Young Thug),Camila Cabello
"1005,Takeaway (feat. Lennon Stella),""The Chainsmokers, ILLENIUM"""
1006,Ay Tenli Kadın,Ufuk Beydemir
1007,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby
1008,Mentira - Ao Vivo,Felipe Araújo
"1009,Alibi,""Rémy, Leto"""
1010,Goodbyes (Feat. Young Thug),Post Malone
"1011,Do jeito que tu gosta,""Pk, LUDMILLA"""
1012,7 rings,Ariana Grande
"1013,Turn Me On (feat. Vula),""Riton, Oliver Heldens"""
1014,אגרוף,Eden Ben Zaken
1015,You should be sad,Halsey
"1016,Bonita,""Juanes, Sebastian Yatra"""
1017,Don't Call Me Up,Mabel
"1018,FRESH KERIAS,""Feid, Maluma, Sky Rompiendo"""
"1019,DomDoen,""Henkie T, Jonna Fraser"""
1020,Your Song,Parokya Ni Edgar
1021,SAD!,XXXTENTACION
1022,Sa Sara,Amuly
"1023,Infinito,""Andrés Cepeda, Jesse & Joy"""
"1024,Piensan,""Haze, Myke Towers"""
1025,Physical,Dua Lipa
1026,ocean eyes,Billie Eilish
1027,Tu me regardes,Angèle
1028,Räkis,Gettomasa
1029,Adore You,Harry Styles
1030,Circles,Post Malone
1031,Bad Bad Bad (feat. Lil Baby),Young Thug
1032,My Oh My (feat. DaBaby),Camila Cabello
"1033,Indeciso,""Reik, J Balvin, Lalo Ebratt"""
1034,Perreito,Mariah Angeliq
1035,La Trompeta (feat. MellemFingaMuzik),Camur
1036,MELÓN VINO,WOS
1037,FANCY,TWICE
1038,I Don't Care (with Justin Bieber),Ed Sheeran
1039,when the party's over,Billie Eilish
1040,So Am I,Ava Max
1041,Believer,Imagine Dragons
1042,An Evening I Will Not Forget,Dermot Kennedy
"1043,La Cama,""Lunay, Myke Towers"""
1044,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit
1045,Dolunay,Enes Batur
1046,Memories,Maroon 5
"1047,Tra Tra Tra Remix - Remix,""Ghetto Kids, Guaynaa, Mad Fuentes"""
1048,Tujhe Kitna Chahein Aur (Film Version),Jubin Nautiyal
"1049,4K,""El Alfa, Darell, Noriel"""
1050,BlimE - Mer Enn God Nok,Stina Talling
1051,Posso (feat. Max Gazzé),Carl Brave
"1052,Estar Contigo / Sin Senos Sí Hay Paraíso,""Dennis Fernando, Robert Taylor, Nicolas Tovar"""
1053,Solo Dance,Martin Jensen
"1054,La Malaeducazione,""Guè Pequeno, Enzo Avitabile"""
1055,ocean eyes,Billie Eilish
"1056,All Night,""The Vamps, Matoma"""
1057,Vitesse,PRIME
1058,In the End,Linkin Park
1059,Arde la Ciudad,Mancha De Rolando
1060,Life Is Good (feat. Drake),Future
1061,Fingías,Paloma Mami
"1062,La Forma en Que Me Miras,""Super Yei, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön"""
1063,La Playa,Myke Towers
1064,If the World Was Ending - feat. Julia Michaels,JP Saxe
1065,Sixteen,Ellie Goulding
1066,Falling,Trevor Daniel
1067,Wow.,Post Malone
1068,Blaablaa (En kuule sanaakaan) [Vain elämää kausi 10],Lauri Tähkä
1069,ROXANNE,Arizona Zervas
1070,Old Town Road,Lil Nas X
"1071,Porno,""Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid"""
1072,Timidez,Deejay Telio
1073,Get You The Moon (feat. Snøw),Kina
"1074,Sunflower - Spider-Man: Into the Spider-Verse,""Post Malone, Swae Lee"""
1075,Christmas Lights,Coldplay
1076,Adan y Eva,Paulo Londra
1077,Hate Me (with Juice WRLD),Ellie Goulding
1078,Up All Night,Khalid
"1079,Toxico,""Brytiago, Myke Towers"""
"1080,Señorita,""Shawn Mendes, Camila Cabello"""
1081,Someone You Loved,Lewis Capaldi
"1082,Rolex,""Capital Bra, Summer Cem, KC Rebell"""
"1083,Señorita,""Shawn Mendes, Camila Cabello"""
1084,Yummy,Justin Bieber
1085,Venetia,Lil Uzi Vert
1086,Alone Again,The Weeknd
1087,Santa Claus Is Coming to Town,Michael Bublé
1088,Hov1,Hov1
1089,Was hat es gebracht,Gzuz
"1090,""Aankh Marey (From """"Simmba"""")"",""Neha Kakkar, Mika Singh, Kumar Sanu"""
1091,Dancing On My Own,Calum Scott
1092,BUTTERFLY EFFECT,Travis Scott
1093,Morena,Mente Fuerte
1094,Hope,XXXTENTACION
1095,Lights Up,Harry Styles
"1096,Bombadilla,""The Main Level, Blvck O"""
"1097,Mi Gente,""J Balvin, Willy William"""
1098,That's What I Like,Bruno Mars
1099,Playbackaris,Kontrafakt
1100,Blueberry Faygo,Lil Mosey
"1101,La Forma en Que Me Miras,""Super Yei, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön"""
1102,Déstabilisé,Djadja & Dinaz
1103,Catriona,Matthaios
1104,Shape of You,Ed Sheeran
1105,Anta Malek,Rabeh Saqer
1106,8 Letters,Why Don't We
"1107,death bed (coffee for your head),""Powfu, beabadoobee"""
1108,lovely (with Khalid),Billie Eilish
"1109,Si Te Vas,""Sech, Ozuna"""
1110,No Idea,Don Toliver
1111,Issues,Julia Michaels
"1112,Whine Up,""Nicky Jam, Anuel AA"""
"1113,Piece Of Your Heart,""MEDUZA, Goodboys"""
1114,Kepuraanmu,Luqman Faiz
1115,Weak,Khel Pangilinan
"1116,La Playa - Remix,""Myke Towers, Maluma, Farruko"""
"1117,""Morni Banke (From """"Badhaai Ho"""")"",""Guru Randhawa, Neha Kakkar"""
"1118,Wybory,""Jan-Rapowanie, Nocny, Szpaku, Guzior"""
1119,כשנגמרת הסופה,Eden Hason
"1120,OUT WEST (feat. Young Thug),""JACKBOYS, Travis Scott"""
1121,Mi Enemigo El Amor,Pancho Barraza
"1122,Me Gusta,""Shakira, Anuel AA"""
1123,Bandit (with YoungBoy Never Broke Again),Juice WRLD
1124,Cristina Remix,DJ Alex
1125,皇后區的皇后,Miss Ko
"1126,Tusa,""KAROL G, Nicki Minaj"""
1127,Flyve,Page Four
1128,Vente Pa' Ca (feat. Maluma),Ricky Martin
"1129,Netflix,""TOQUEL, Hawk"""
1130,Christmas in Our Hearts,Jose Mari Chan
1131,Work from Home (feat. Ty Dolla $ign),Fifth Harmony
1132,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo
1133,Ransom,Lil Tecca
"1134,Lento,""RAF Camora, Ahmad Amin"""
1135,Don't Let Me Down (feat. Daya),The Chainsmokers
1136,Issues,Julia Michaels
1137,High Fashion (feat. Mustard),Roddy Ricch
1138,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis
1139,Hasta el Amanecer,Nicky Jam
1140,comethru,Jeremy Zucker
1141,Joy To The World,Nat King Cole
1142,Solo (feat. Demi Lovato),Clean Bandit
1143,La Difícil,Bad Bunny
1144,Stressed Out,Twenty One Pilots
1145,Favorite Part Of Me,Astrid S
1146,Lamento Boliviano,Los Enanitos Verdes
1147,Si Tú La Ves (feat. Wisin),Nicky Jam
"1148,Something Just Like This,""The Chainsmokers, Coldplay"""
1149,Lose You To Love Me,Selena Gomez
1150,HIGHEST IN THE ROOM,Travis Scott
"1151,Me Mata,""Bad Bunny, Mambo Kingz, DJ Luian, Arcangel, Almighty, Bryant Myers, Noriel, Baby Rasta, Brytiago"""
1152,VIBEZ,DaBaby
1153,Believer,Imagine Dragons
"1154,Starboy,""The Weeknd, Daft Punk"""
1155,Stay With Me,Sam Smith
"1156,RITMO (Bad Boys For Life),""Black Eyed Peas, J Balvin"""
1157,İhanetten Geri Kalan,Sezen Aksu
1158,La Mia Hit (feat. Max Pezzali),J-AX
1159,Garis Terdepan,Fiersa Besari
1160,Se Preparó,Ozuna
1161,Free Smoke,Drake
1162,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez
"1163,1-800-273-8255,""Logic, Alessia Cara, Khalid"""
1164,Jennifer Lawrence,NOËP
"1165,No Fue - Remix,""Leebrian, Cauty, Rauw Alejandro, Brray, Feid"""
"1166,MAMACITA,""Black Eyed Peas, Ozuna, J. Rey Soul"""
1167,Touch,Little Mix
1168,Feliz Navidad,José Feliciano
"1169,Starving,""Hailee Steinfeld, Grey, Zedd"""
"1170,First Time,""Kygo, Ellie Goulding"""
1171,Trampoline (with ZAYN),SHAED
1172,Believer,Imagine Dragons
1173,Touch,Little Mix
1174,Sign of the Times,Harry Styles
"1175,Muévelo,""Nicky Jam, Daddy Yankee"""
"1176,Cuerpo en Venta,""Noriel, Myke Towers, Rauw Alejandro, Almighty"""
1177,OMG (feat. Quavo),Camila Cabello
"1178,Starboy,""The Weeknd, Daft Punk"""
1179,Love Yourself,Justin Bieber
1180,Dance Monkey,Tones And I
1181,Futsal Shuffle 2020,Lil Uzi Vert
1182,Hymn for the Weekend,Coldplay
1183,Harder (with Bebe Rexha),Jax Jones
1184,No Idea,Don Toliver
1185,ROXANNE,Arizona Zervas
"1186,Slide (feat. Frank Ocean & Migos),""Calvin Harris, Funk Wav"""
1187,Another One Bites The Dust - Remastered 2011,Queen
"1188,Goteo - Remix,""Duki, Ronny J, Pablo Chill-E, Capo Plaza, C.R.O, Asan"""
"1189,Imaginate,""Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Cazzu"""
